,Subcategory,Age Group Upper Limit,Year,Price per filled day,Spending per person,Utilization per 1000 persons
68,Central_Nervous_System,54,2015,22.787288888888884,71.80883333333333,37098.31288888889
69,Central_Nervous_System,54,2016,10.352677777777776,71.50962222222222,37201.19027777778
70,Central_Nervous_System,64,2012,18.899377777777776,95.17003333333334,44477.451888888885
71,Central_Nervous_System,64,2013,21.006522222222223,94.79579999999999,44765.17501111111
72,Central_Nervous_System,64,2014,21.778222222222226,91.48811111111111,44837.43531111112
73,Central_Nervous_System,64,2015,21.233911111111112,82.76104444444445,45503.395077777786
74,Central_Nervous_System,64,2016,13.005055555555556,79.62542222222223,45317.300077777785
75,EENT,18,2012,3.8537000000000003,4.551344444444445,1715.8390333333332
76,EENT,18,2013,3.941422222222222,4.4899000000000004,1675.1717
77,EENT,18,2014,3.2603444444444443,4.058577777777777,1585.0924555555555
78,EENT,18,2015,4.4025,3.922133333333333,1285.8579222222224
79,EENT,18,2016,5.1113,3.6268111111111114,1104.321411111111
80,EENT,25,2012,2.8312374999999994,3.2067250000000005,1433.90415
81,EENT,25,2013,4.396666666666667,2.779888888888889,1268.7591888888892
82,EENT,25,2014,3.2266875,2.9272,1426.24855
83,EENT,25,2015,3.9912875,2.6824375,1106.444675
84,EENT,25,2016,4.498800000000001,2.4465625,960.9153625000001
85,EENT,44,2012,2.5624444444444436,5.529444444444445,2443.0766
86,EENT,44,2013,3.4531333333333336,5.5113666666666665,2457.7269666666666
87,EENT,44,2014,5.689400000000001,5.0414666666666665,2384.2280333333333
88,EENT,44,2015,4.015988888888889,4.424777777777778,1772.3734333333332
89,EENT,44,2016,4.491924999999998,4.477587499999999,1665.21585
90,EENT,54,2012,2.6330444444444443,9.153344444444445,3964.3789222222226
91,EENT,54,2013,2.8717666666666672,9.365866666666667,4036.521022222222
92,EENT,54,2014,3.2837,8.960333333333333,3995.566944444445
93,EENT,54,2015,3.4103111111111115,8.18828888888889,3120.249255555556
94,EENT,54,2016,3.793077777777777,7.832166666666666,2729.5744444444445
95,EENT,64,2012,2.332688888888889,14.688844444444445,6282.760855555555
96,EENT,64,2013,2.8788750000000003,17.027449999999998,7148.683837500001
97,EENT,64,2014,3.3734111111111114,15.309555555555555,6333.162455555556
98,EENT,64,2015,3.763488888888889,14.676911111111114,5365.6548999999995
99,EENT,64,2016,3.840366666666667,14.248211111111111,4868.639577777777
100,Gastrointestinal,18,2012,5.164388888888889,2.9371777777777783,838.3161777777776
101,Gastrointestinal,18,2013,5.6971555555555575,2.9451000000000005,826.4393666666668
102,Gastrointestinal,18,2014,6.555999999999999,2.8100444444444443,802.1263444444444
103,Gastrointestinal,18,2015,7.238488888888887,2.815955555555556,787.4282888888888
104,Gastrointestinal,18,2016,8.071911111111111,2.990077777777778,764.7346555555555
105,Gastrointestinal,25,2012,6.135044444444444,5.109922222222221,1064.416977777778
106,Gastrointestinal,25,2013,7.533444444444445,5.492866666666666,1120.5228666666667
107,Gastrointestinal,25,2014,11.26888888888889,4.8860777777777775,1126.2459666666666
108,Gastrointestinal,25,2015,11.563699999999999,5.168522222222222,1138.0517555555557
109,Gastrointestinal,25,2016,9.861355555555555,5.73338888888889,1125.7276444444442
110,Gastrointestinal,44,2012,5.1805666666666665,11.179044444444445,2987.611666666667
111,Gastrointestinal,44,2013,6.659377777777779,11.660733333333335,3084.054111111111
112,Gastrointestinal,44,2014,10.017466666666666,10.248022222222223,3036.5083
113,Gastrointestinal,44,2015,16.451755555555554,10.34268888888889,3052.2116111111113
114,Gastrointestinal,44,2016,25.894822222222224,10.768400000000003,2988.313022222222
115,Gastrointestinal,54,2012,4.477677777777778,20.7545,6524.661411111111
116,Gastrointestinal,54,2013,6.769444444444443,21.002755555555556,6710.4271666666655
117,Gastrointestinal,54,2014,10.164977777777779,18.57227777777778,6709.099344444445
118,Gastrointestinal,54,2015,10.471011111111112,17.709188888888885,6819.604088888889
119,Gastrointestinal,54,2016,10.902555555555555,18.008699999999997,6738.543088888889
120,Gastrointestinal,64,2012,4.0182111111111105,32.4214,10794.234366666666
121,Gastrointestinal,64,2013,6.274055555555556,32.5054,10976.911944444444
122,Gastrointestinal,64,2014,13.34828888888889,28.511811111111108,10872.426322222223
123,Gastrointestinal,64,2015,13.748544444444445,26.37873333333333,10917.795277777777
124,Gastrointestinal,64,2016,5.600433333333333,26.11564444444444,10586.388777777778
125,Hormones,18,2012,10.94347777777778,16.26996666666667,3073.5020222222224
126,Hormones,18,2013,13.99022222222222,18.102899999999998,3185.485977777778
127,Hormones,18,2014,22.3964,19.98522222222222,3242.094655555556
128,Hormones,18,2015,21.619855555555556,22.121766666666666,3347.7489777777782
129,Hormones,18,2016,12.03968888888889,24.325622222222222,3477.732677777778
130,Hormones,25,2012,3.338811111111111,26.79455555555555,16071.683477777777
131,Hormones,25,2013,9.4095,27.07868888888889,16651.045066666666
132,Hormones,25,2014,23.550155555555556,27.531499999999998,16983.40015555556
133,Hormones,25,2015,13.6289,28.80707777777778,17458.681911111114
134,Hormones,25,2016,3.980266666666667,30.59252222222223,17789.954177777774
135,Hormones,44,2012,3.3837333333333333,32.66377777777777,16353.477377777777
136,Hormones,44,2013,6.578533333333334,34.959377777777775,16689.74577777778
137,Hormones,44,2014,14.262866666666667,38.2195,16896.171400000007
138,Hormones,44,2015,10.76528888888889,42.54555555555556,17214.268333333333
139,Hormones,44,2016,4.360355555555556,45.48935555555556,17396.01538888889
140,Hormones,54,2012,3.1651555555555557,53.449777777777776,22823.60443333333
141,Hormones,54,2013,4.253088888888889,58.97997777777779,23483.989444444447
142,Hormones,54,2014,6.8951,68.55611111111111,24313.82048888889
143,Hormones,54,2015,6.071255555555556,80.99614444444444,25225.937099999996
144,Hormones,54,2016,4.588811111111111,89.9913888888889,25777.329488888892
145,Hormones,64,2012,3.2695888888888884,90.11149999999999,34696.0729
146,Hormones,64,2013,4.411533333333334,96.70778888888889,34999.90822222222
147,Hormones,64,2014,6.270822222222222,112.20516666666666,35877.77023333333
148,Hormones,64,2015,5.1295111111111105,132.79227777777774,36981.39385555556
149,Hormones,64,2016,4.879655555555555,146.75897777777783,37337.06503333333
150,Other_Drugs,18,2012,5.7660888888888895,18.07784444444444,3482.3052777777784
151,Other_Drugs,18,2013,6.177644444444443,18.652433333333335,3326.8619
152,Other_Drugs,18,2014,7.469799999999998,21.968922222222222,3196.8347333333336
153,Other_Drugs,18,2015,9.016955555555557,27.661844444444444,3290.156333333333
154,Other_Drugs,18,2016,10.878055555555555,32.29990000000001,3181.7082333333333
155,Other_Drugs,25,2012,7.983066666666667,20.57716666666667,2849.834633333334
156,Other_Drugs,25,2013,8.867833333333333,21.84511111111111,2792.1102333333333
157,Other_Drugs,25,2014,11.497944444444444,28.069344444444447,2799.9522555555554
158,Other_Drugs,25,2015,13.95881111111111,35.06453333333334,2834.229522222222
159,Other_Drugs,25,2016,15.933233333333337,38.92813333333333,2705.6504999999993
160,Other_Drugs,44,2012,9.099044444444445,51.60538888888889,7971.197811111111
